date,PM2_5,Wind_Speed,Wind_Direction,Humidity,Temperature,Diwali_Flag
2022-08-04,44.0,8.395833333333334,102.08333333333333,85.91666666666667,28.28333333333333,0
2022-08-05,44.0,9.25,100.125,86.04166666666667,27.733333333333334,0
2022-08-06,74.0,4.483333333333333,170.08333333333334,83.375,28.8125,0
2022-08-07,42.0,8.591666666666667,117.25,85.83333333333333,27.829166666666666,0
2022-08-08,53.0,5.758333333333333,85.16666666666667,80.91666666666667,29.254166666666666,0
2022-08-09,60.0,10.179166666666665,81.29166666666667,77.45833333333333,30.508333333333336,0
2022-08-10,47.0,10.066666666666666,90.29166666666667,74.45833333333333,30.883333333333336,0
2022-08-11,27.0,16.4125,66.625,83.25,27.72083333333333,0
2022-08-12,32.0,15.4625,86.70833333333333,73.91666666666667,29.40416666666667,0
2022-08-13,33.0,13.525,128.16666666666666,76.16666666666667,29.599999999999998,0
2022-08-14,53.0,7.295833333333333,200.83333333333334,84.875,28.1375,0
2022-08-15,37.0,11.041666666666666,96.45833333333333,81.95833333333333,28.133333333333336,0
2022-08-16,24.0,21.829166666666666,96.25,79.625,27.541666666666668,0
2022-08-17,26.0,16.429166666666667,141.16666666666666,77.58333333333333,28.295833333333334,0
2022-08-18,41.0,9.362499999999999,213.91666666666666,74.83333333333333,29.204166666666666,0
2022-08-19,24.0,12.625,280.7083333333333,73.0,29.920833333333334,0
2022-08-20,35.0,6.308333333333334,194.5,81.79166666666667,27.787499999999998,0
2022-08-21,43.0,6.870833333333334,253.125,76.25,29.587500000000002,0
2022-08-22,41.0,8.920833333333333,166.04166666666666,77.41666666666667,29.224999999999998,0
2022-08-23,26.0,22.204166666666666,106.91666666666667,70.33333333333333,29.629166666666666,0
2022-08-24,31.0,13.049999999999999,122.83333333333333,76.0,28.483333333333334,0
2022-08-25,58.0,5.3500000000000005,162.875,72.5,29.520833333333332,0
2022-08-26,53.0,10.720833333333333,284.125,64.45833333333333,30.55,0
2022-08-27,37.0,16.2375,282.7916666666667,60.25,31.016666666666666,0
2022-08-28,38.0,15.174999999999999,266.375,54.25,31.5,0
2022-08-29,57.0,8.054166666666667,199.5,59.375,30.412499999999998,0
2022-08-30,85.0,5.991666666666667,203.25,66.16666666666667,30.854166666666668,0
2022-08-31,53.0,9.820833333333333,270.0,60.625,31.791666666666668,0
2022-09-01,66.0,8.858333333333333,262.75,58.666666666666664,32.362500000000004,0
2022-09-02,71.0,6.75,247.75,56.583333333333336,32.47083333333333,0
2022-09-03,52.0,12.825000000000001,279.2916666666667,50.5,32.733333333333334,0
2022-09-04,40.0,14.945833333333333,258.875,49.583333333333336,32.575,0
2022-09-05,44.0,10.020833333333334,263.7083333333333,50.541666666666664,32.112500000000004,0
2022-09-06,91.0,7.6000000000000005,296.125,51.416666666666664,32.4375,0
2022-09-07,80.0,7.758333333333333,280.125,51.666666666666664,32.42916666666667,0
2022-09-08,87.0,6.833333333333333,51.333333333333336,52.875,32.15833333333333,0
2022-09-09,101.0,8.554166666666667,103.91666666666667,61.5,31.895833333333332,0
2022-09-10,65.0,9.6,106.625,68.45833333333333,30.441666666666666,0
2022-09-11,46.0,10.3375,89.25,70.5,29.537499999999998,0
2022-09-12,51.0,10.570833333333333,84.0,66.45833333333333,30.245833333333334,0
2022-09-13,29.0,16.783333333333335,88.45833333333333,66.875,29.666666666666668,0
2022-09-14,23.0,18.712500000000002,75.33333333333333,76.25,27.71666666666667,0
2022-09-15,27.0,14.208333333333334,61.0,84.83333333333333,26.316666666666666,0
2022-09-16,45.0,9.700000000000001,204.58333333333334,83.58333333333333,26.2625,0
2022-09-17,61.0,9.6625,221.5,79.75,27.55,0
2022-09-18,80.0,6.954166666666667,184.66666666666666,80.54166666666667,28.0625,0
2022-09-19,95.0,6.5874999999999995,241.95833333333334,76.66666666666667,28.59166666666667,0
2022-09-20,87.0,5.3500000000000005,102.70833333333333,83.79166666666667,27.391666666666666,0
2022-09-21,83.0,5.516666666666667,97.58333333333333,84.54166666666667,27.45,0
2022-09-22,58.0,10.9625,67.91666666666667,90.125,25.412499999999998,0
2022-09-23,34.0,12.329166666666666,78.20833333333333,92.33333333333333,24.958333333333332,0
2022-09-24,28.0,16.212500000000002,99.54166666666667,92.29166666666667,24.837500000000002,0
2022-09-25,40.0,10.108333333333333,207.70833333333334,84.0,26.458333333333332,0
2022-09-26,55.0,8.125,251.16666666666666,84.625,26.729166666666668,0
2022-09-27,67.0,8.237499999999999,301.0416666666667,80.41666666666667,26.766666666666666,0
2022-09-28,88.0,6.6375,302.7083333333333,77.5,27.258333333333336,0
2022-09-29,91.0,8.408333333333333,301.5833333333333,78.375,27.162499999999998,0
2022-09-30,89.0,8.204166666666667,281.25,77.08333333333333,27.400000000000002,0
2022-10-01,94.0,7.120833333333334,211.04166666666666,73.5,28.016666666666666,0
2022-10-02,98.0,8.704166666666667,274.9166666666667,69.91666666666667,27.837500000000002,0
2022-10-03,53.0,14.237499999999999,302.875,64.70833333333333,27.433333333333334,0
2022-10-04,67.0,9.875,237.95833333333334,70.0,27.462500000000002,0
2022-10-05,120.0,7.470833333333334,92.70833333333333,77.625,27.054166666666664,0
2022-10-06,32.0,10.279166666666667,90.83333333333333,75.70833333333333,26.40833333333333,0
2022-10-07,23.0,11.75,82.08333333333333,83.41666666666667,24.508333333333336,0
2022-10-08,26.0,12.983333333333334,82.79166666666667,92.16666666666667,22.766666666666666,0
2022-10-09,21.0,13.512500000000001,64.58333333333333,91.5,22.691666666666666,0
